study;study_id;hedgesg;lowlim;uplim
Barbosa2010;1;1.349;0.892;1.807
Barbosa2012;2;1.145;0.555;1.735
Barbosa2013;3;0.849;0.505;1.194
Chen2014;4;-0.241;-0.444;-0.039
Chou2012;5;-0.021;-0.546;0.504
Cunha2006;6;-0.466;-0.875;-0.058
deOliveira2009;7;-1.077;-1.615;-0.539
Dias2009;8;0.189;-0.178;0.556
Fernandes2009;9;-2.296;-2.899;-1.693
Grande2013;10;0.196;-0.149;0.541
Huang2012;11;-0.286;-0.749;0.177
Kapczinski2011;12;-0.881;-1.229;-0.532
Kauer-SantAnna2009;13;0.656;0.106;1.206
Kauer-SantAnna2009;13;-1.161;-1.702;-0.62
Kenna2014;14;0.222;-0.253;0.698
Langan2009;15;0.23;-0.34;0.801
Laske2005;16;-1.072;-1.873;-0.271
Li2014;17;-0.773;-1.232;-0.314
Lotrich2013;18;-0.046;-0.616;0.524
Machado-Vieira2007;19;-0.952;-1.479;-0.424
Mackin2007;20;-0.005;-0.672;0.662
Monteleone2008;21;-1.038;-1.624;-0.452
Munkholm2014;22;0.686;0.231;1.142
Palomino2006;23;-1.368;-2.202;-0.534
Rabie2014;24;-2.081;-2.754;-1.408
Rosa2014;25;-0.087;-0.476;0.302
Rybakowski2010;26;-0.433;-0.793;-0.073
SchillingPanizzutti2013;27;0.098;-0.277;0.473
Su2011;28;-1.913;-2.788;-1.039
Suwalska2010;29;-0.212;-0.492;0.068
Sodersten2014;30;0.343;0.114;0.573
Sodersten2014;30;0.605;0.186;1.025
Tramontina2009;31;-0.606;-1.466;0.254
Tunca2014;32;-0.221;-0.542;0.099
