study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Armstrong et al., (1979); 1;U.S.;M/F;106 ;23 ; 4.5;106 ;23.90; 3.9;vegetarian;bmi
Knuiman et al., (1982); 2;The Netherlands;M;56 ;21.4 ; 1.7;52 ;24.40; 2.3;vegetarian;bmi
Shultz et al., (1983); 3;U.S.;M;20 ;24 ; 5;17 ;24 ; 3;vegetarian;bmi
Shultz et al., (1983); 3;U.S.;F;31 ;23 ; 4;36 ;24 ; 4;vegetarian;bmi
Shultz et al., (1983); 4 ;U.S.;F;14 ;22.0 ; 4.1;9 ;23.3 ; 3.0;vegetarian;bmi
Faber et al., (1986); 5;South Africa;M;14 ;23.9 ; 3.5;10 ;24.6 ; 2.1;vegetarian;bmi
Faber et al., (1986); 5;South Africa;F;19 ;21.5 ; 3.1;12 ;21.1 ; 1.5;vegetarian;bmi
Melby et al., (1989); 6;U.S.;M/F;55 ;26.3 ; 0.5;59 ;31.4 ; 0.9;vegetarian;bmi
Melby et al., (1989); 6;U.S.;M/F;164 ;24.6 ; 0.4;100 ;27.4 ; 0.6;vegetarian;bmi
Nieman et al., (1989); 7;U.S.;F;19 ;22.5 ; 0.6;12 ;24.2 ; 0.8;vegetarian;bmi
Nieman et al., (1989); 8;U.S.;F;23 ;22.8 ; 0.5;14 ;24.2 ; 0.8;vegetarian;bmi
Thorogood et al., (1990); 9;U.K.;M;26 ;23.1 ; 0.1;26 ;23.1 ; 0.1;vegetarian;bmi
Thorogood et al., (1990); 9;U.K.;F;26 ;21.8 ; 0.1;26 ;22.7 ; 0.1;vegetarian;bmi
Reddy et al., (1992); 10;U.K.;F;40 ;28.5 ; 0.9;22 ;33.8 ; 0.8;vegetarian;bmi
Supawan et al., (1992); 11;Thailand;M;64 ;19.8 ; 0.6;32 ;21.4 ; 0.7;vegetarian;bmi
Supawan et al., (1992); 11;Thailand;F;68 ;19.9 ; 0.6;36 ;20.6 ; 0.7;vegetarian;bmi
Melby et al., (1993); 12;U.S.;M/F;112 ;26.0 ; 0.6;91 ;29.7 ; 0.9;vegetarian;bmi
Pan et al., (1993); 13;Taiwan;M;23 ;20.0 ; 2.3;20 ;21.3 ; 1.2;vegetarian;bmi
Pan et al., (1993); 13;Taiwan;F;32 ;20.1 ; 2.8;39 ;20.7 ; 2.6;vegetarian;bmi
Melby et al., (1994); 14;U.S.;M/F;66 ;26.8 ; 0.8;45 ;28.6 ; 0.8;vegetarian;bmi
Krajcovicova et al., (1994); 15 ;Slovak Rep.;M;31 ;22.0 ; 0.2;24 ;23.3 ; 0.2;vegetarian;bmi
Krajcovicova et al., (1994); 15;Slovak Rep.;F;28 ;19.9 ; 0.2;26 ;21.6 ; 0.1;vegetarian;bmi
Krajcovicova et al, (1995); 16;Slovak Rep.;M/F;12 ;23.1 ; 0.4;14 ;24.7 ; 0.5;vegetarian;bmi
Krajcovicova et al., (1996); 17;Slovak Rep.;M;42 ;21.7 ; 0.2;29 ;23.5 ; 0.2;vegetarian;bmi
Krajcovicova et al., (1996); 17;Slovak Rep.;F;39 ;20.7 ; 0.1;33 ;23.0 ; 0.1;vegetarian;bmi
Williams et al., (1997); 18;U.S.;M;199 ;22.9 ; 2.4;7054 ;23.8 ; 2.5;vegetarian;bmi
