study;study_id;hedges g;n;d;vi
baker2013;1;0.496;24;0.513714286;0.172164633
baker2013;1;0.287;28;0.29561;0.144417594
baker2013;1;0.108;26;0.111521739;0.154085329
baker2013;1;0.726;18;0.7623;0.238363925
chan2010;2;-1.41;16;-1.491346154;0.319503542
chan2010;2;0.069;16;0.072980769;0.250166444
chan2010;2;-2.321;16;-2.454903846;0.438329778
chan2010;2;-0.349;16;-0.369134615;0.254258136
chan2010;2;-0.455;16;-0.48125;0.257237549
chan2010;2;-1.542;12;-1.6705;0.449607094
chan2014;3;-1.162;15;-1.234625;0.31747663
chan2014;3;0.244;15;0.25925;0.268907019
chan2014;3;0.082;16;0.086730769;0.25023507
chan2014;3;0.185;16;0.195673077;0.251196499
chan2014;3;-0.847;16;-0.895865385;0.275080462
clem2010;4;3.383;15;3.5944375;0.697332698
clem2010;4;1.529;15;1.6245625;0.354640111
clem2010;4;1.119;15;1.1889375;0.313785746
clem2010;4;1.529;15;1.6245625;0.354640111
flavell2011;5;-0.908;16;-0.960384615;0.278823082
flavell2011;5;1.355;24;1.403392857;0.207698156
ishii2012;6;-0.126;18;-0.1323;0.222708425
ishii2012;6;-0.389;18;-0.40845;0.226856428
ishii2012;6;-0.215;18;-0.22575;0.223637863
ishii2012;6;-0.009;18;-0.00945;0.222224703
ishii2012;6;-0.388;18;-0.4074;0.226832632
jones2013;7;1.598;22;1.661078947;0.244526892
monfils2009;8;1.895;20;1.978602941;0.29787174
monfils2009;8;1.062;20;1.108852941;0.230738871
monfils2009;8;1.738;16;1.838269231;0.355601055
monfils2009;8;1.104;16;1.167692308;0.292609541
monfils2009;8;1.185;23;1.2294375;0.206772099
olshavsky2013;9;0.765;67;0.773964844;0.064171803
rao ruiz2011;10;1.883;20;1.966073529;0.296636128
