Jade E. Adams-White, Jacqueline M. Wheatcroft,  Michael Jump
A. R. Albina
PG de Barros, RW Lindemann
Vanessa K. Bowden, Shayne Loft
Jackie S. Cha, Nicholas E. Anton, Tomoko Mizota, Julie M. Hennings, Megan A. Rendina, Katie Stanton-Maxey, Hadley E. Ritter, Dimitrios Stefanidis,  Denny Yu
Hallie Clark, Anne Collins McLaughlin,  Jing Feng
Simon Cooper, T McConnell-Henry, R Cant
Simon Cooper, Leigh Kinsman, Penny Buykx, Tracy McConnell-Henry, Ruth Endacott, Julie Scholes
C. L. Crooks, Chang-Ya Hu, Robert P. Mahan
M. L. Cummings, Stephanie Guerlain
 J. C. F. de Winter, Y. B. Eisma, C. D. D. Cabrall, P. A. Hancock, N. A. Stanton
F. T. Durso, M. Kathryn Bleckley, rew R. Dattel
F. T. Durso, C. A. Hackworth, T. R. Truitt, J. Crutchfield, D. Niklic, C. A. Manning
Eileen B. Entin
Fracker
Yiannis Gatsoulis, Gurvinder S. Virk
Yiannis Gatsoulis, Gurvinder S. Virk,  Abbas A. Dehghani-Sanij
A. Gregoriades, A. Sutcliffe
Tristan Grigoleit, Hector Silva, Mary Ann Burress, Dan Chiappe, S.M. Cetiner, P. Fechtelkotter, M. Legatt
Leo J. Gugerty
A. Gugliotta, P. Ventsislavova, P. Garcia-Fernez, E. Pea-Suarez, E. Eisman, D. Crundall, C. Castro
Robert S. Gutzwiller, Benjamin A. Clegg
Michael P. Hogan, David E. Pace, Joanne Hapgood, Darrell C. Boone
Mafruhatul Jannat, David S. Hurwitz, Christopher Monsere, Kenneth H. Funk
M. Jeon, B.N. Walker, T.M. Gable
Meike Jipp, Phillip L. Ackerman
Vanessa Johnson, Robert J. Pleban, Jennifer S. Tucker
D. Jung, S. Jo, R. Myung
D. Kaber, Y. Zhang, S. Jin, P. Mosaly, M. Garner
David B. Kaber,  Mica R. Endsley
Steven J. Kass, Lisa A. VanWormer, William L. Mikulas, Shauna Legan,  David Bumgarner
Jan Kraemer,  Heinz-Martin Suess 
Daniel Lafond, Michel B. DuCharme, Jean-Franois Gagnon,  Sbastien Tremblay
U. Laptaned
Esko Lehtonen, Heidi Sahlberg, Emilia Rovamo,  Heikki Summala
C.J. Lin, T.-L. Hsieh,  S.-F. Lin
Julia C. Lo, Emdzad Sehic, Karel A. Brookhuis,  Sebastiaan A. Meijer
Shayne Loft, Lisa Jooste, Yanqi Ryan Li, Timothy Ballard, Samuel Huf, Ottmar V. Lipp,  Troy A. W. Visser
Shayne Loft, Daniel B. Morrell,  Samuel Huf
Shayne Loft, Daniel B. Morrell, Kate Ponton, Janelle Braithwaite, Vanessa Bowden,  Samuel Huf 
Heide Lukosch, Daan Groen, Shalini Kurapati, Rol Klemke,  Alexer Verbraeck
Michael D. Matthews,  Scott A. Beal
Patricia L. McDermott,  Alia Fisher
J.D. Miles,  T.Z. Strybel
RH. Mogford
Courtney Nickel, Carolyn Knight, Aaron Langille,  Alison Godwin 
K. S. OBrien,  D. OHare
A. D. OHagan, J. Issartel, A. Wall, F. Dunne, P. Boylan, J. Groeneweg, M. Herring, M. Campbell,  G. Warrington
E. Onal, J. Schaffer, J. ODonovan, L. Marusich, M.S. Yu, C. Gonzalez,  T. Hoellerer
Lucas Paletta, Amir Dini, Cornelia Murko, Saeed Yahyanejad, Michael Schwarz, Gerald Lodron, Stefan Ladstaetter, Gerhard Paar,  Rosemarie Velik
Russell S. Pierce, Thomas Z. Strybel,  Kim-Phuong L. Vu
Robert J. Pleban
Samir Puuska, Lauri Rummukainen, Jussi Timonen, Lauri Laeaeperi, Markus Klemetti, Lauri Oksama,  Jouko Vankka
Jennifer M. Riley, David B. Kaber,  John V. Draper
Jennifer M. Riley,  Laura D. Strater
Meghan Rogers, Yu Zhang, David Kaber, Yulan Liang, Shruti Gangakhedkar,  D Harris
J. A. Rose, C. Bearman, J. Dorrian,  NA Stanton
J. A. Rose, C. Bearman, J. Dorrian
Paul M. Salmon, Neville A. Stanton, Guy H. Walker, Daniel Jenkins, Darshna Ladva, Laura Rafferty,  Mark Young
Evelyn-Rose Saus, Bjorn Helge Johnson, Jarle Eid,  Julian F. Thayer
Evelyn-Rose Saus, Bjorn Helge Johnson, Jarle Eid, Per K. Riisem, Rune Anderson,  Julian F. Thayer
D. Schuster, J.R. Keebler, J. Zuniga,  F. Jentsch
S. J. Selcon,  R. M. Taylor
Randy L. Sollenberger,  Earl S. Stein
Randy L. Sollenberger,  Earl S. Stein
Melinda Stanners,  Han T. French
Laura D. Strater, Mica R. Endsley, Robert J. Pleban,  Michael D. Matthews
Thomas Z. Strybel, Kim-Phuong L. Vu, Jerome Kraft,  Katsumi Minakata
Ketut Sulistyawati, Yoon Ping Chui,  D Harris
Ketut Sulistyawati, Christopher D. Wickens,  Yoon Ping Chui
R. M. Taylor, S. J. Selcon,  A. D. Swinden
Nick Valentine, Alexer Wearing,  Mary Omodei
Michael Venturino, William L. Hamilton,  Stephen R. Dvorchak
Troy A. W. Visser, Angela D. Bender, Vanessa K. Bowden, Stephanie C. Black, Jayden Greenwell-Barnden, Shayne Loft,  Ottmar V. Lipp
T Wijayanto, S Wibirama, ZZ Maryoto 
J. Wojtusch, D. Taubert, T. Graber,  K. Nergaard
Chih-Wei Yang, Tsung-Ling Hsieh, Shiau-Feng Lin, Chiuhsiang Joe Lin,  Hui-Ming Teng
